Name	sample	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
CD274-204	ENST00000492923.1	-9.9658	-4.2934	6.2259	0.044	-1.4699	2.4779	-4.035	-9.9658	-2.114	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	3.9901	0.099	-9.9658	-1.685	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-0.394	-2.3884	-9.9658	-0.4719	-3.6259	-0.7346	-2.4659	0.9862	1.0007	-2.0529	-9.9658	1.3225	-1.3183	1.9034	-4.2934	-3.816	-9.9658	-9.9658
CD274-205	ENST00000498261.1	-9.9658	-9.9658	7.6453	-2.7274	-9.9658	1.0983	-9.9658	-9.9658	-2.8262	-4.035	-4.2934	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	5.6705	-2.3884	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	3.6266	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-0.9406	-9.9658	-3.6259	-9.9658	-1.5522	-1.3921	-9.9658	-9.9658	-1.4305	-9.9658	-1.8836	-3.816	-9.9658	-9.9658	-9.9658
IDO1-201	ENST00000253513.11	2.9618	3.2572	-1.4699	1.2992	3.5669	3.9459	-1.685	1.5806	2.6348	1.2815	2.296	-0.2671	2.2901	1.2333	-0.2328	0.3115	4.149	5.0811	1.3109	-0.2498	-0.0574	3.2692	6.4575	1.8201	-1.2142	2.5036	2.1574	0.4447	1.3956	-1.6394	3.6277	2.1894	1.5013	-0.1993	-0.9686	2.1798	4.5374	4.6531	1.4281	0.2881	2.8779	3.3032	5.7134	2.05	2.3843	0.2881	1.6281
IDO1-202	ENST00000518237.5	-2.3147	-3.3076	-9.9658	-3.0469	0.5859	-0.1031	-3.458	-4.035	-0.6873	-2.6349	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-3.3076	-0.4131	0.7832	-4.035	-9.9658	-4.2934	-1.7322	-3.816	-9.9658	-9.9658	-9.9658	-4.035	-3.3076	-9.9658	-3.458	-1.5522	-4.2934	-1.7809	-3.458	-9.9658	-0.4131	0.2277	-0.1031	-9.9658	-9.9658	0.24	-0.4921	1.2333	-3.3076	-1.4305	-9.9658	-9.9658
IDO1-203	ENST00000518804.5	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.7274	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
IDO1-204	ENST00000519154.5	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
IDO1-205	ENST00000521480.1	-4.6082	-4.2934	-9.9658	-4.035	-4.2934	-1.5105	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-0.5125	-9.9658	-3.816	-9.9658	-9.9658	-2.7274	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-3.3076	-9.9658	-3.816	-4.6082	-4.2934	-2.4659	-0.8084	-4.035	-9.9658	-3.6259	-9.9658	-9.9658	0.7579	-9.9658	-9.9658	-9.9658	-9.9658
IDO1-206	ENST00000521636.1	-2.9324	-2.4659	-9.9658	-4.035	-2.3884	-1.685	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-2.0529	-9.9658	-9.9658	-4.035	-1.5522	-1.2142	-9.9658	-9.9658	-9.9658	-3.458	-0.4921	-3.1714	-9.9658	-2.3884	-9.9658	-3.1714	-2.8262	-3.3076	-1.2481	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-1.1172	-0.5332	-2.8262	-9.9658	-2.6349	-2.8262	0.9115	-1.685	-2.4659	-9.9658	-2.3147
IDO1-207	ENST00000522495.5	5.4532	3.0808	2.2633	3.7593	6.1046	6.2178	0.1903	3.8993	5.044	3.9251	3.7259	1.125	3.7825	1.9931	0.5271	3.9346	6.5558	7.2412	3.47	2.2452	2.1541	5.4967	8.0788	2.5188	-1.8836	4.2373	4.2165	3.3003	2.7679	2.2421	5.9057	1.9034	4.6977	2.4008	1.0363	4.3299	6.8962	6.9344	3.5706	-1.0559	5.0184	5.6404	8.4071	5.0291	5.4347	0.0014	3.7269
IDO1-208	ENST00000522840.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
