transcript_id	gene_id	TCGA-3X-AAVB-01	TCGA-W5-AA2W-01	TCGA-WD-A7RX-01	TCGA-W5-AA2H-01	TCGA-W5-AA2U-01	TCGA-W5-AA2T-01	TCGA-W5-AA2O-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA2I-01	TCGA-ZU-A8S4-11	TCGA-3X-AAVE-01	TCGA-ZH-A8Y6-01	TCGA-W5-AA33-01	TCGA-W5-AA2X-01	TCGA-W5-AA38-01	TCGA-W5-AA2U-11	TCGA-4G-AAZT-01	TCGA-YR-A95A-01	TCGA-W5-AA31-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-W5-AA2X-11	TCGA-W5-AA39-01	TCGA-W5-AA2Z-01	TCGA-3X-AAVA-01	TCGA-W5-AA2R-11	TCGA-ZH-A8Y8-01	TCGA-ZD-A8I3-01	TCGA-W5-AA2R-01	TCGA-W5-AA34-01	TCGA-3X-AAV9-01	TCGA-W5-AA2I-11	TCGA-ZU-A8S4-01	TCGA-W5-AA31-11	TCGA-W5-AA30-01	TCGA-ZH-A8Y4-01	TCGA-W5-AA2G-01	TCGA-W5-AA2Q-11	TCGA-ZH-A8Y5-01	TCGA-W5-AA30-11	TCGA-W6-AA0S-01	TCGA-W5-AA2Q-01	TCGA-3X-AAVC-01	TCGA-4G-AAZO-01
ENST00000492923	CD274-204	-1.5951	-2.3884	-9.9658	-9.9658	-1.685	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-0.6643	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-3.1714	-9.9658	-9.9658	-9.9658	-1.8314	-9.9658	-9.9658	-3.816	-9.9658	-1.1488	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-3.6259	-3.6259	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-9.9658
ENST00000498261	CD274-205	-5.5735	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-6.5064	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.2481	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.5479	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000253513	IDO1-201	-0.6193	-9.9658	1.0847	2.7721	-0.9132	-9.9658	-2.6349	-2.5479	-9.9658	-2.9324	-9.9658	3.091	-9.9658	0.3685	-9.9658	-2.5479	-9.9658	-1.3183	-1.8314	-0.4921	-4.6082	-1.5951	-2.3147	-4.6082	1.5316	-1.4305	-9.9658	-0.3566	-2.4659	1.7617	-1.0559	0.8568	-9.9658	2.5852	-9.9658	-1.1811	-9.9658	-9.9658	-9.9658	-3.6259	-2.114	-0.4131	-2.1779	0.3346	-9.9658
ENST00000518237	IDO1-202	-9.9658	-9.9658	-3.816	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.013	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.3752	-9.9658	-9.9658	-3.6259	-9.9658	-2.114	-9.9658	-9.9658	-4.2934	-1.9379	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.6349	-9.9658
ENST00000518804	IDO1-203	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000519154	IDO1-204	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000521480	IDO1-205	-9.9658	-9.9658	-3.816	-4.035	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-3.458	-9.9658	-3.6259	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
ENST00000521636	IDO1-206	-9.9658	-2.8262	-2.9324	-2.8262	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-0.8339	-9.9658	-3.458	-6.5064	-9.9658	-9.9658	-4.6082	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-2.4659	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658
ENST00000522495	IDO1-207	0.7493	1.2576	2.7551	3.9719	1.1706	-2.9324	-9.9658	-9.9658	-1.0559	-9.9658	-2.114	5.1115	-3.6259	1.8524	-4.6082	-9.9658	-0.394	-1.5951	-2.5479	0.1388	-0.7108	-3.0469	-1.5522	-9.9658	2.8562	-1.5951	-0.9971	1.3735	-1.9379	3.7909	1.6045	2.4727	-4.6082	4.0977	-2.4659	0.7407	-1.8314	-0.0277	-1.1811	-9.9658	-1.5105	0.6332	0.8246	4.0488	-0.7834
ENST00000522840	IDO1-208	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
