Name	sample	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
PDCD1LG2-201	ENST00000397747.4	10.3264	9.2167	9.5736	9.1898	9.6671	10.3095	7.7004	8.0279	9.633	10.8122	8.9801	7.3663	7.9069	7.0444	7.5774	9.2479	10.1111	10.8057	8.5078	7.7074	8.1699	10.115	11.1389	8.375	4.2479	9.5527	9.4533	8.3309	7.0	9.3923	10.5953	7.6653	9.941	8.9944	9.8455	10.1799	11.6087	11.279	9.1724	7.4009	13.204	10.242	10.7151	9.875	9.3129	6.4919	8.1997
SIGLEC15-201	ENST00000389474.7	6.8987	5.5361	6.923	2.101	8.1867	0.0	4.8435	2.5656	8.4246	7.4008	7.1975	6.5214	3.9882	0.0	5.3473	8.0815	2.281	2.9946	6.5688	5.6144	0.0	9.4672	4.9616	4.9141	0.0	5.1723	6.1896	7.4147	0.0	5.9556	7.3661	2.5993	4.0356	5.1562	7.7361	6.4538	6.375	7.3535	5.0951	4.4893	8.1351	9.1861	1.8319	4.4033	2.0286	0.0	5.9866
SIGLEC15-202	ENST00000546268.5	1.251	1.9598	1.251	1.433	3.4995	0.0	2.1309	0.0	4.4502	3.5934	1.269	1.3505	0.0	0.0	0.0	1.585	0.0	0.0	2.189	3.0356	0.0	2.1859	0.0	2.2479	0.0	0.0	0.0	0.0	0.0	3.9681	3.6005	0.0	2.6576	1.5261	3.6159	2.7355	4.0968	1.5509	3.3016	0.0	4.4383	5.1922	0.0	0.0	0.0	0.0	2.254
SIGLEC15-203	ENST00000587418.2	1.281	2.6112	1.7949	0.0	2.0286	0.0	1.6645	0.0	2.6088	3.2972	1.8359	2.4436	1.1506	0.0	1.8953	3.2388	0.0144	0.0	1.2016	1.9298	0.0	3.5097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3448	0.0	0.0	0.0	1.9411	0.0	0.0	2.1731	1.516	2.2234	1.8797	3.2735	0.0	1.1699	0.0	0.0	0.0
SIGLEC15-204	ENST00000593178.2	8.117	9.0891	8.8164	4.1707	9.654	4.0875	6.8165	3.8768	9.2911	8.7741	7.7294	6.9519	3.5472	1.3334	4.8334	8.1602	3.6005	4.332	7.3225	7.3765	2.844	9.7601	5.4118	6.7807	0.0	4.4925	5.4529	7.7726	1.3448	8.7449	9.6354	3.3604	5.9376	6.0985	9.1989	8.5484	7.5705	8.3437	7.1096	5.0067	9.4692	9.9647	4.0505	6.8273	4.6392	0.0	7.3609
SIGLEC15-205	ENST00000602118.6	7.6812	8.5924	6.2282	0.0	5.511	0.0	3.7038	3.0687	5.4912	8.7559	7.8582	6.9697	5.9593	1.7991	6.1098	8.4904	0.0	1.5311	6.0902	4.7991	2.269	10.5813	4.9667	7.0351	3.9069	6.0753	5.9593	8.2747	2.4489	2.0909	5.0461	3.969	0.0	3.1603	0.0	1.7137	4.0712	4.0144	0.0	8.0152	5.3834	5.8329	2.5534	4.9556	0.0	1.585	6.0755
TDO2-201	ENST00000503634.5	0.0	0.0	1.0566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0286	0.0	0.0
TDO2-202	ENST00000506072.5	1.4383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TDO2-203	ENST00000506181.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TDO2-204	ENST00000507590.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.757	0.0	0.0
