Name	sample	TCGA-3X-AAV9-01	TCGA-3X-AAVA-01	TCGA-3X-AAVB-01	TCGA-3X-AAVC-01	TCGA-3X-AAVE-01	TCGA-4G-AAZO-01	TCGA-4G-AAZT-01	TCGA-W5-AA2G-01	TCGA-W5-AA2H-01	TCGA-W5-AA2I-01	TCGA-W5-AA2I-11	TCGA-W5-AA2O-01	TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-11	TCGA-W5-AA2R-01	TCGA-W5-AA2R-11	TCGA-W5-AA2T-01	TCGA-W5-AA2U-01	TCGA-W5-AA2U-11	TCGA-W5-AA2W-01	TCGA-W5-AA2X-01	TCGA-W5-AA2X-11	TCGA-W5-AA2Z-01	TCGA-W5-AA30-01	TCGA-W5-AA30-11	TCGA-W5-AA31-01	TCGA-W5-AA31-11	TCGA-W5-AA33-01	TCGA-W5-AA34-01	TCGA-W5-AA34-11	TCGA-W5-AA36-01	TCGA-W5-AA38-01	TCGA-W5-AA39-01	TCGA-W6-AA0S-01	TCGA-WD-A7RX-01	TCGA-YR-A95A-01	TCGA-ZD-A8I3-01	TCGA-ZH-A8Y1-01	TCGA-ZH-A8Y2-01	TCGA-ZH-A8Y4-01	TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y6-01	TCGA-ZH-A8Y8-01	TCGA-ZU-A8S4-01	TCGA-ZU-A8S4-11
CD274-205	ENST00000498261.1	-9.9658	-9.9658	-5.5735	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.1714	-9.9658	-9.9658	-6.5064	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-1.2481	-2.5479	-3.1714	-9.9658	-9.9658	-9.9658	-9.9658
IDO1-201	ENST00000253513.11	0.8568	-1.4305	-0.6193	0.3346	3.091	-9.9658	-1.3183	-9.9658	2.7721	-2.9324	-9.9658	-2.6349	-2.1779	-9.9658	1.7617	-9.9658	-9.9658	-0.9132	-9.9658	-9.9658	-9.9658	-2.3147	1.5316	-1.1811	-2.114	-0.4921	-9.9658	0.3685	-1.0559	-2.5479	-9.9658	-2.5479	-4.6082	-0.4131	1.0847	-1.8314	-2.4659	-4.6082	-1.5951	-9.9658	-3.6259	-9.9658	-0.3566	2.5852	-9.9658
IDO1-202	ENST00000518237.5	-9.9658	-9.9658	-9.9658	-2.6349	-0.013	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.2934	-9.9658	-9.9658	-9.9658	-2.114	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-0.3752	-3.816	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-1.9379	-9.9658
IDO1-203	ENST00000518804.5	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
IDO1-204	ENST00000519154.5	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
IDO1-205	ENST00000521480.1	-3.816	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-4.035	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.6259	-9.9658	-9.9658	-3.6259	-3.816	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-4.035	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658
IDO1-206	ENST00000521636.1	-9.9658	-9.9658	-9.9658	-9.9658	-0.8339	-9.9658	-4.6082	-9.9658	-2.8262	-9.9658	-9.9658	-9.9658	-3.816	-9.9658	-3.6259	-9.9658	-9.9658	-9.9658	-9.9658	-2.8262	-6.5064	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-3.458	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.9324	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-2.4659	-9.9658
IDO1-207	ENST00000522495.5	2.4727	-1.5951	0.7493	4.0488	5.1115	-0.7834	-1.5951	-0.0277	3.9719	-9.9658	-4.6082	-9.9658	0.8246	-1.1811	3.7909	-0.9971	-2.9324	1.1706	-0.394	1.2576	-4.6082	-1.5522	2.8562	0.7407	-1.5105	0.1388	-2.4659	1.8524	1.6045	-9.9658	-1.0559	-9.9658	-9.9658	0.6332	2.7551	-2.5479	-1.9379	-0.7108	-3.0469	-1.8314	-9.9658	-3.6259	1.3735	4.0977	-2.114
IDO1-208	ENST00000522840.1	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658	-9.9658
IDO1-209	ENST00000523779.1	1.1447	-1.1172	-1.6394	2.9148	3.7083	0.2154	-0.6643	-1.685	3.9617	-1.685	-5.5735	-4.6082	-9.9658	-6.5064	2.5658	-2.3884	-2.8262	-0.3383	-9.9658	0.547	-3.0469	-2.0529	1.0363	-0.2845	-1.8836	0.1519	-1.7322	-1.3548	-9.9658	-3.3076	-9.9658	-9.9658	-9.9658	-0.1345	2.2633	-2.0529	-9.9658	-2.9324	-4.6082	-4.035	-9.9658	-9.9658	0.8408	2.4465	-2.9324
